start time,end time,eachTradeCost,percetageOfTradeVolumnCost,dataFreq,riskFreeRate,investMoney
2016/11/8,2016/11/30,0.0001,0.001,252,0.0266,3000

totalPnL,annualReturn,annualSTD,annualDownSTD,Sharpe Ratio,Sortino Ratio,Max DrawDown
5.68975,0.0367645,0.173166,0.12679,0.0586982,0.0801679,0.0388499

Asset Order,0
Time,Realized Win/Lose, Amount
2016/11/14,Lose,-3.38766
2016/11/25,Win,54.1093
no. of transaction,no. of win,total amount of win,no. of lose,total amount of lose,win rate
2,1,54.1093,1,-3.38766,0.5

Asset Order,1
Time,Realized Win/Lose, Amount
2016/11/16,Lose,-89.246
no. of transaction,no. of win,total amount of win,no. of lose,total amount of lose,win rate
1,0,0,1,-89.246,0

